time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-08-26T04:33:35.926Z,31.67514227,-104.4091735,6.542895508,2.9,ml,27,69,0.0271989213,0.2,tx,tx2023qrjg,2023-09-27T21:40:20.040Z,"55 km S of Whites City, New Mexico",earthquake,0.9266626966,0.7846743602,0.1,18,reviewed,tx,tx
2023-08-25T09:58:46.501Z,31.66361198,-104.3428616,7.982543944999999,3.1,ml,44,66,0.06694570549,0.3,tx,tx2023qpym,2023-09-20T14:33:39.040Z,"56 km S of Whites City, New Mexico",earthquake,0.9641644206999999,1.170037522,0.1,24,reviewed,tx,tx
2023-08-24T01:45:59.893Z,31.71828556,-104.2663044,7.314135742,2.9,ml,15,57,0.03897991849,0.1,tx,tx2023qnms,2023-09-29T04:16:28.040Z,"51 km SSE of Whites City, New Mexico",earthquake,1.066887854,1.4991933820000003,0.1,26,reviewed,tx,tx
2023-08-23T20:21:49.567Z,31.68918845,-104.2919274,8.342456055,3.3,ml,48,64,0.02900303677,0.2,tx,tx2023qnca,2023-09-21T13:19:08.040Z,"54 km S of Whites City, New Mexico",earthquake,0.61608636,0.9043392785,0.1,52,reviewed,tx,tx
2023-08-22T22:58:00.335Z,31.66055222,-104.3164618,7.93112793,4,ml,40,68,0.04533120359,0.2,tx,tx2023qlls,2023-09-29T04:15:53.357Z,"57 km S of Whites City, New Mexico",earthquake,0.7897495234,0.8566542976,0.1,24,reviewed,tx,tx
2023-08-22T07:04:20.380Z,31.61319555,-103.997466,8.895178223,3.2,ml,45,56,0.01853198574,0.1,tx,tx2023qkgj,2023-09-20T08:10:49.040Z,"38 km NNW of Toyah, Texas",earthquake,0.4984914377,0.4691772138,0.1,27,reviewed,tx,tx
2023-08-22T07:03:13.879Z,31.61103917,-103.9895211,7.828295898,2.5,ml,13,58,0.01764547106,0.1,tx,tx2023qkgg,2023-09-20T07:59:52.040Z,"37 km NNW of Toyah, Texas",earthquake,0.5460336326,0.5629794604,0.1,30,reviewed,tx,tx
2023-08-22T07:00:13.301Z,31.61457704,-103.9966655,8.895178223,3.7,ml,40,57,0.01873879714,0.1,tx,tx2023qkgd,2023-10-04T12:36:57.040Z,"38 km NNW of Toyah, Texas",earthquake,0.5222862519,0.4599644025,0.2,25,reviewed,tx,tx
2023-08-22T06:55:55.598Z,31.60965503,-103.9911285,8.548120117,2.8,ml,21,40,0.019042412,0.1,tx,tx2023qkfy,2023-09-03T06:39:26.040Z,"37 km NNW of Toyah, Texas",earthquake,0.6238239642,0.6934300392,0.1,37,reviewed,tx,tx
2023-08-22T06:18:27.919Z,31.61059383,-103.9852154,6.799975586,2.7,ml,13,59,0.01396966361,0.1,tx,tx2023qkeu,2023-08-22T13:07:55.040Z,"37 km NNW of Toyah, Texas",earthquake,1.121479388,1.051441511,0.1,29,reviewed,tx,tx
2023-08-22T06:16:25.464Z,31.61240895,-103.9922172,7.776879883,3.4,ml,22,58,0.0200153171,0.1,tx,tx2023qker,2023-09-29T05:01:29.637Z,"38 km NNW of Toyah, Texas",earthquake,0.5480851468,0.6159261329,0.2,13,reviewed,tx,tx
2023-08-22T06:15:17.593Z,31.61195834,-103.9895253,8.342456055,3.8,ml,26,58,0.0176906721,0.1,tx,tx2023qkep,2023-09-03T06:36:33.844Z,"37 km NNW of Toyah, Texas",earthquake,0.6931852227,0.7184626195,0.3,19,reviewed,tx,tx
2023-08-22T04:11:39.955Z,32.40875244,-102.0249381,10.58890788,3.4,ml,19,82,0.1200442309,0.1,tx,tx2023qkal,2023-09-28T02:30:06.040Z,"31 km WSW of Ackerly, Texas",earthquake,0.7952773685,1.254306064,0.1,30,reviewed,tx,tx
2023-08-22T03:51:31.124Z,31.71720262,-104.5380084,5.334619141,3.4,ml,55,149,0.008272883213,0.3,tx,tx2023qjzv,2023-09-28T02:18:45.863Z,"53 km SSW of Whites City, New Mexico",earthquake,2.320357796,0.7531616709,0.1,30,reviewed,tx,tx
2023-08-21T23:55:57.070Z,31.67107653,-104.3983702,7.365551758,2.8,ml,17,81,0.02522125286,0.1,tx,tx2023qjsc,2023-09-06T01:29:33.040Z,"55 km S of Whites City, New Mexico",earthquake,1.163121179,1.224368778,0.1,31,reviewed,tx,tx
2023-08-20T23:57:19.156Z,31.66845374,-104.3773531,4.897583008,2.7,ml,17,57,0.0430526129,0.1,tx,tx2023qhws,2023-09-06T00:38:23.040Z,"56 km S of Whites City, New Mexico",earthquake,0.8250244904,1.0852325979999997,0.1,21,reviewed,tx,tx
2023-08-20T16:06:16.591Z,31.67535408,-104.376337,7.005639647999999,3.4,ml,84,65,0.04253930558,0.3,tx,tx2023qhhd,2023-09-28T17:07:52.040Z,"55 km S of Whites City, New Mexico",earthquake,0.5722050279,0.708862422,0.1,42,reviewed,tx,tx
2023-08-20T12:17:37.054Z,31.61475719,-104.5011576,7.982543944999999,3,ml,57,141,0.05393599803,0.2,tx,tx2023qgzo,2023-09-03T05:49:01.040Z,"63 km S of Whites City, New Mexico",earthquake,1.035464458,0.7243133281,0.1,24,reviewed,tx,tx
2023-08-19T17:30:26.339Z,31.6657674,-104.3660257,5.977319336,2.7,ml,33,66,0.05307734908,0.3,tx,tx2023qfoh,2023-09-21T14:29:34.040Z,"56 km S of Whites City, New Mexico",earthquake,1.003527306,0.8643475974,0.2,14,reviewed,tx,tx
